title,discounted_price,original_price,rating,box_item
"APPLE iPhone 14 (Blue, 128 GB)","₹60,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 (Starlight, 128 GB)","₹61,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (Blue, 64 GB)","₹40,999","₹49,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (Black, 64 GB)","₹40,999","₹49,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 (Midnight, 128 GB)","₹61,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹68,999","₹89,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹69,999","₹89,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (Blue, 128 GB)","₹46,999","₹54,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 (Midnight, 256 GB)","₹71,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 15 (Blue, 128 GB)","₹79,900",,4.6,"Handset, USB C Charge Cable (1m), Documentation"
"APPLE iPhone 14 (Purple, 128 GB)","₹61,999","₹69,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (White, 64 GB)","₹41,999","₹49,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 15 (Black, 128 GB)","₹79,900",,4.6,"Handset, USB C Charge Cable (1m), Documentation"
"APPLE iPhone 14 (Purple, 256 GB)","₹71,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (White, 128 GB)","₹47,999","₹54,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹69,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (Green, 64 GB)","₹41,999","₹49,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹69,999","₹89,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 (Blue, 256 GB)","₹70,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 14 (Starlight, 256 GB)","₹71,999","₹79,900",4.6,"Handset, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 12 (Black, 128 GB)","₹47,999","₹54,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 15 (Green, 128 GB)","₹79,900",,4.6,"Handset, USB C Charge Cable (1m), Documentation"
"APPLE iPhone 12 (Red, 128 GB)","₹47,999","₹54,900",4.6,"iPhone, USB-C to Lightning Cable, Documentation"
"APPLE iPhone 15 (Black, 256 GB)","₹89,900",,4.6,"Handset, USB C Charge Cable (1m), Documentation"
